Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_07_478.jpg;0;1;0;1.016179;100.0753;86.15065;1.221332;54.62058;-0.001017636
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_07_549.jpg;0;1;0;1.063518;100.1131;86.2034;1.226077;54.60297;-0.0007270747
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_07_611.jpg;0;1;0;1.127618;100.1524;86.25835;1.221196;54.59975;-0.0008802803
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_07_679.jpg;0;1;0;1.174773;100.2075;86.33522;1.227174;54.5708;-0.0006362607
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_07_748.jpg;0;1;0;1.215807;100.2506;86.3954;1.228276;54.53259;-0.0006490971
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_07_813.jpg;0;1;0;1.280049;100.2955;86.45789;1.232156;54.51229;-0.0009108935
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_07_878.jpg;0;1;0;1.327799;100.3579;86.54475;1.235715;54.4845;-0.0009399565
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_07_949.jpg;0;1;0;1.37659;100.4068;86.61266;1.244295;54.4612;-0.0008982748
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_08_012.jpg;0;1;0;1.437561;100.4573;86.68275;1.246578;54.44749;-0.0008678528
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_08_079.jpg;0;1;0;1.485986;100.5271;86.77975;1.250228;54.43207;-0.0009703845
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_08_148.jpg;0;1;0;1.532798;100.5815;86.85519;1.2549;54.41804;-0.0009494371
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_08_213.jpg;0;1;0;1.594673;100.6376;86.93285;1.258582;54.40799;-0.0009938721
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_08_278.jpg;0;1;0;1.640157;100.7148;87.03991;1.265141;54.39307;-0.001014931
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_08_349.jpg;0;1;0;1.687071;100.7747;87.1228;1.270041;54.38095;-0.001020724
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_08_415.jpg;0;1;0;1.748347;100.8362;87.20793;1.27492;54.36952;-0.001034629
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_08_478.jpg;0;1;0;1.794011;100.9207;87.32484;1.279719;54.35559;-0.00105075
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_08_549.jpg;0;1;0;1.838947;100.986;87.41508;1.282419;54.34408;-0.001068765
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_08_615.jpg;0;1;0;1.899309;101.0529;87.50757;1.288894;54.33344;-0.001095108
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_08_678.jpg;0;1;0;1.945324;101.1446;87.63425;1.295169;54.318;-0.001134395
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_08_749.jpg;0;1;0;1.989528;101.2152;87.73174;1.295808;54.30854;-0.001139439
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_08_815.jpg;0;1;0;2.050062;101.2875;87.83144;1.299836;54.29562;-0.001154893
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_08_878.jpg;0;1;0;2.093924;101.3863;87.96775;1.306005;54.28104;-0.001173256
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_08_945.jpg;0;1;0;2.139008;101.4622;88.07244;1.308682;54.27035;-0.001191779
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_09_012.jpg;0;1;0;2.198097;101.5397;88.17926;1.310546;54.25997;-0.001211421
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_09_078.jpg;0;1;0;2.242301;101.6455;88.32502;1.314438;54.24327;-0.001227649
Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_09_145.jpg;0;1;0;2.28607;101.7267;88.43682;1.319026;54.23343;-0.00125989
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_09_211.jpg;0;1;0;2.344527;101.8095;88.55072;1.321756;54.22056;-0.001252472
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_09_278.jpg;0;1;0;2.387983;101.9223;88.70586;1.326593;54.20679;-0.00128829
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_09_345.jpg;0;1;0;2.431605;102.0086;88.8246;1.32677;54.19369;-0.001282685
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_09_412.jpg;0;1;0;2.489113;102.0966;88.94547;1.330266;54.18189;-0.001298646
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_09_478.jpg;0;1;0;2.532088;102.2163;89.10989;1.338176;54.16656;-0.00133596
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_09_545.jpg;0;1;0;2.574949;102.3079;89.2356;1.344597;54.15533;-0.001365533
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_09_611.jpg;0;1;0;2.632208;102.4009;89.36324;1.340134;54.14359;-0.001336415
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_09_678.jpg;0;1;0;2.674706;102.5274;89.53674;1.344932;54.12684;-0.001251737
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_09_745.jpg;0;1;0;2.716781;102.6241;89.6693;1.35262;54.11339;-0.001399538
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_09_812.jpg;0;1;0;2.77312;102.7223;89.80384;1.358041;54.10154;-0.001427777
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_09_878.jpg;0;1;0;2.815238;102.8556;89.98631;1.360596;54.08635;-0.001440749
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_09_945.jpg;0;1;0;2.85721;102.9573;90.12547;1.359372;54.0748;-0.001446006
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_10_016.jpg;0;1;0;2.912909;103.0605;90.26666;1.360553;54.06389;-0.001005949
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_10_079.jpg;0;1;0;2.954214;103.2005;90.45804;1.366121;54.04432;-0.001468054
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_10_145.jpg;0;1;0;2.995696;103.3072;90.60384;1.366483;54.03153;-0.001471444
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_10_216.jpg;0;1;0;3.05122;103.4155;90.75168;1.371358;54.01834;-0.001378812
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_10_280.jpg;0;1;0;3.091635;103.5621;90.95179;1.374575;53.99945;-0.001507611
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_10_345.jpg;0;1;0;3.132662;103.6738;91.10419;1.379322;53.98585;-0.0014074
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_10_414.jpg;0;1;0;3.186863;103.787;91.25848;1.381191;53.97112;-0.001539748
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_10_482.jpg;0;1;0;3.228016;103.9402;91.46726;1.386;53.95178;-0.001535214
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_10_544.jpg;0;1;0;3.267871;104.0568;91.62608;1.388552;53.93837;-0.001099023
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_10_615.jpg;0;1;0;3.32148;104.1749;91.7868;1.390491;53.92171;-0.001572687
C:\Users\panag\Desktop\rover_data\IMG\robocam_2018_10_22_14_11_10_682.jpg;0;1;0;3.361459;104.3347;92.0041;1.395953;53.90081;-0.001597004
